iteration,initial_x,initial_y,goal_x,goal_y,cancelled,goal_accuracy,aggregated_distance,aggregated_angle,elapsed_time
1,-0.5594577283681144,0.8057900825992252,2.653129856935756,-4.888978198453538,False,0.4962465508745184,19.806677732056468,7.035007763582602,82.74
2,-0.5594577283681144,0.8057900825992252,5.150694558428075,2.920210927004776,False,0.49463897744770513,5.6237021409224175,1.2702009652088493,17.19
3,-0.5594577283681144,0.8057900825992252,1.5372222300878473,4.177858549081744,False,0.49358614803465656,14.731369819326702,2.875072551070262,14.55
4,-0.5594577283681144,0.8057900825992252,2.16708372487804,2.826924605528472,False,0.4954320659082014,9.927432393150871,3.523199576033159,14.32
5,-0.5594577283681144,0.8057900825992252,6.266851595923384,-6.546858147510256,True,9.235632855560832,0.8218264624816009,0.99153073848675,150.0
6,-0.5594577283681144,0.8057900825992252,-5.405335609514074,-5.059501096612562,False,0.4996346208907902,12.643814342429211,7.1857990553014535,52.79
7,-0.5594577283681144,0.8057900825992252,-3.8611134801452267,-0.40543663807055097,True,6.594359725938385,9.022830820209895,8.713940090135294,150.0
8,-0.5594577283681144,0.8057900825992252,4.8706008444815225,-6.096976512014607,False,0.49407007031455674,29.502873719768406,11.144367006349015,90.97
9,-0.5594577283681144,0.8057900825992252,6.027791777064365,-2.9120703687821106,True,8.716359569696412,26.889095719366107,19.35588337743817,150.0
10,-0.5594577283681144,0.8057900825992252,6.443649874709504,-1.8807602067287528,True,7.899373862750147,10.204296830511604,17.30674283093731,150.0
11,4.229229851430784,2.0520258895297037,2.653129856935756,-4.888978198453538,False,0.5018900510724809,25.16611244755782,7.141498703416835,91.55
12,4.229229851430784,2.0520258895297037,5.150694558428075,2.920210927004776,False,0.4961645841907,0.7951464583594362,0.7806680991658332,8.27
13,4.229229851430784,2.0520258895297037,1.5372222300878473,4.177858549081744,False,0.4939820411360197,3.0159631630385597,2.615167225076513,18.67
14,4.229229851430784,2.0520258895297037,2.16708372487804,2.826924605528472,False,0.4995589971848225,1.7666580268000442,2.9170639569871923,18.03
15,4.229229851430784,2.0520258895297037,6.266851595923384,-6.546858147510256,False,0.4920937422853377,8.38680243161193,2.0969613652204866,27.0
16,4.229229851430784,2.0520258895297037,-5.405335609514074,-5.059501096612562,True,8.374709522269796,3.684851306647152,3.8160899868718863,150.0
17,4.229229851430784,2.0520258895297037,-3.8611134801452267,-0.40543663807055097,True,9.722895085156749,17.17773250841776,9.662228128491371,150.0
18,4.229229851430784,2.0520258895297037,4.8706008444815225,-6.096976512014607,False,0.5016563310607182,7.784559978657823,1.6829959361510527,25.31
19,4.229229851430784,2.0520258895297037,6.027791777064365,-2.9120703687821106,False,0.4951848212439684,20.217142372790434,4.863008691450276,19.47
20,4.229229851430784,2.0520258895297037,6.443649874709504,-1.8807602067287528,False,0.4987619435583602,13.703780132637922,4.993477767531895,18.9
21,-1.9958706417312637,1.8726476276637811,2.653129856935756,-4.888978198453538,False,0.5027051183709228,20.227105596666885,7.452503041740433,85.56
22,-1.9958706417312637,1.8726476276637811,5.150694558428075,2.920210927004776,False,0.4944680382521015,22.71143754423095,0.4646609422971899,17.27
23,-1.9958706417312637,1.8726476276637811,1.5372222300878473,4.177858549081744,False,0.4980732218312672,3.7604879271419125,1.522391213966074,14.6
24,-1.9958706417312637,1.8726476276637811,2.16708372487804,2.826924605528472,False,0.499118441871318,3.7845017207427922,0.4324264983932129,13.26
25,-1.9958706417312637,1.8726476276637811,6.266851595923384,-6.546858147510256,False,0.4983018802684494,24.965928506386962,7.196038035470748,99.2
26,-1.9958706417312637,1.8726476276637811,-5.405335609514074,-5.059501096612562,False,0.4916013935814023,33.09438216258453,6.1990334989463385,52.06
27,-1.9958706417312637,1.8726476276637811,-3.8611134801452267,-0.40543663807055097,True,2.0438653708047547,34.91492818396251,15.038747986451554,150.0
28,-1.9958706417312637,1.8726476276637811,4.8706008444815225,-6.096976512014607,False,0.49103241603254244,23.121879948793403,7.046548995324573,94.05
29,-1.9958706417312637,1.8726476276637811,6.027791777064365,-2.9120703687821106,True,5.505434662023118,3.8975981293635784,1.8800093331435126,150.0
30,-1.9958706417312637,1.8726476276637811,6.443649874709504,-1.8807602067287528,True,10.775814277823168,13.357110568560456,6.715858490868767,150.0
31,0.03963560625279694,2.9395026378862408,2.653129856935756,-4.888978198453538,False,0.49648706977904006,23.037773244805734,7.364039489341208,89.75
32,0.03963560625279694,2.9395026378862408,5.150694558428075,2.920210927004776,False,0.5044416356270357,20.95122345965836,0.25304343143720764,13.33
33,0.03963560625279694,2.9395026378862408,1.5372222300878473,4.177858549081744,False,0.4986198053162177,1.4716454658878992,0.7727593587867427,10.1
34,0.03963560625279694,2.9395026378862408,2.16708372487804,2.826924605528472,False,0.5045481191264114,4.527754658785909,1.598820475831325,7.84
35,0.03963560625279694,2.9395026378862408,6.266851595923384,-6.546858147510256,False,0.49675798107316427,27.603679810130707,7.809167662523569,97.98
